N=100, Input=int, Layers=0 | Avg Loss: 0.0109 | Accuracy: 0.3500
N=100, Input=int, Layers=1 | Avg Loss: 0.0108 | Accuracy: 0.3500
N=100, Input=int, Layers=2 | Avg Loss: 0.0109 | Accuracy: 0.3500
N=100, Input=binary, Layers=0 | Avg Loss: 0.0105 | Accuracy: 0.5000
N=100, Input=binary, Layers=1 | Avg Loss: 0.0084 | Accuracy: 0.4000
N=100, Input=binary, Layers=2 | Avg Loss: 0.0066 | Accuracy: 0.5000
N=100, Input=modular, Layers=0 | Avg Loss: 0.0107 | Accuracy: 0.4500
N=100, Input=modular, Layers=1 | Avg Loss: 0.0088 | Accuracy: 0.6500
N=100, Input=modular, Layers=2 | Avg Loss: 0.0077 | Accuracy: 0.6000
N=1000, Input=int, Layers=0 | Avg Loss: 0.0109 | Accuracy: 0.3800
N=1000, Input=int, Layers=1 | Avg Loss: 0.0109 | Accuracy: 0.3800
N=1000, Input=int, Layers=2 | Avg Loss: 0.0109 | Accuracy: 0.3800
N=1000, Input=binary, Layers=0 | Avg Loss: 0.0097 | Accuracy: 0.5100
N=1000, Input=binary, Layers=1 | Avg Loss: 0.0087 | Accuracy: 0.5500
N=1000, Input=binary, Layers=2 | Avg Loss: 0.0078 | Accuracy: 0.5550
N=1000, Input=modular, Layers=0 | Avg Loss: 0.0102 | Accuracy: 0.5100
N=1000, Input=modular, Layers=1 | Avg Loss: 0.0092 | Accuracy: 0.6250
N=1000, Input=modular, Layers=2 | Avg Loss: 0.0088 | Accuracy: 0.6000
N=10000, Input=int, Layers=0 | Avg Loss: 0.0109 | Accuracy: 0.3840
N=10000, Input=int, Layers=1 | Avg Loss: 0.0109 | Accuracy: 0.3840
N=10000, Input=int, Layers=2 | Avg Loss: 0.0109 | Accuracy: 0.3840
N=10000, Input=binary, Layers=0 | Avg Loss: 0.0093 | Accuracy: 0.5450
N=10000, Input=binary, Layers=1 | Avg Loss: 0.0088 | Accuracy: 0.5605
N=10000, Input=binary, Layers=2 | Avg Loss: 0.0078 | Accuracy: 0.5710
N=10000, Input=modular, Layers=0 | Avg Loss: 0.0100 | Accuracy: 0.4910
N=10000, Input=modular, Layers=1 | Avg Loss: 0.0096 | Accuracy: 0.5670
N=10000, Input=modular, Layers=2 | Avg Loss: 0.0095 | Accuracy: 0.5740
